Latitude,Longitude,"Current index","Forecast index"
49.8,0.49999999999999,2,3
49.8,0.59999999999999,3,3
49.8,0.69999999999999,3,3
49.8,0.79999999999999,3,3
49.8,0.89999999999999,3,3
49.8,0.99999999999999,3,3
49.8,1.1,3,3
49.8,1.2,3,3
49.8,1.3,3,3
49.8,1.4,2,3
49.8,1.5,2,3
49.8,1.6,2,3
49.8,1.7,2,3
49.9,-8.2,1,3
49.9,-8.1,2,3
49.9,-8,2,3
49.9,-7.9,2,3
49.9,-7.8,2,3
49.9,-7.7,2,3
49.9,-7.6,2,3
49.9,-7.5,2,3
49.9,-7.4,2,3
49.9,-7.3,2,3
49.9,-7.2,2,3
49.9,-7.1,2,3
49.9,-7,2,3
49.9,-6.9,2,3
49.9,-6.8,2,3
49.9,-6.7,2,3
49.9,-6.6,2,3
49.9,-6.5,2,3
49.9,-6.4,2,3
49.9,-6.3,2,3
49.9,-6.2,2,3
49.9,-6.1,2,3
49.9,-6,2,3
49.9,-5.9,2,3
49.9,-5.8,2,3
49.9,-5.7,2,3
49.9,-5.6,2,3
49.9,-5.5,2,3
49.9,-5.4,2,3
49.9,-5.3,2,3
49.9,-5.2,2,3
49.9,-5.1,2,3
49.9,-5,2,3
49.9,-4.9,2,3
49.9,-4.8,2,3
49.9,-4.7,2,3
49.9,-4.6,2,3
49.9,-4.5,2,3
49.9,-4.4,2,3
49.9,-4.3,2,3
49.9,-4.2,2,3
49.9,-4.1,2,3
49.9,-4,2,3
49.9,-3.9,2,3
49.9,-3.8,2,3
49.9,-3.7,2,3
49.9,-3.6,2,3
49.9,-3.5,2,3
49.9,-3.4,2,3
49.9,-3.3,2,3
49.9,-3.2,2,3
49.9,-3.1,2,3
49.9,-3,2,3
49.9,-2.9,2,3
49.9,-2.8,2,3
49.9,-2.7,2,3
49.9,-2.6,2,3
49.9,-2.5,2,3
49.9,-2.4,2,3
49.9,-2.3,2,3
49.9,-2.2,2,3
49.9,-2.1,2,3
49.9,-2,2,3
49.9,-1.9,2,3
49.9,-1.8,2,3
49.9,-1.7,2,3
49.9,-1.6,2,3
49.9,-1.5,2,3
49.9,-1.4,2,3
49.9,-1.3,2,3
49.9,-1.2,2,3
49.9,-1.1,2,3
49.9,-1,2,3
49.9,-0.90000000000001,2,3
49.9,-0.80000000000001,2,3
49.9,-0.70000000000001,2,3
49.9,-0.60000000000001,2,3
49.9,-0.50000000000001,2,3
49.9,-0.40000000000001,2,3
49.9,-0.30000000000001,2,3
49.9,-0.20000000000001,2,3
49.9,-0.10000000000001,2,3
49.9,-1.168509733418E-14,2,3
49.9,0.099999999999988,2,3
49.9,0.19999999999999,2,3
49.9,0.29999999999999,2,3
49.9,0.39999999999999,2,3
49.9,0.49999999999999,2,3
49.9,0.59999999999999,3,3
49.9,0.69999999999999,3,3
49.9,0.79999999999999,3,3
49.9,0.89999999999999,3,3
49.9,0.99999999999999,3,3
49.9,1.1,3,3
49.9,1.2,3,3
49.9,1.3,3,3
49.9,1.4,2,3
49.9,1.5,2,3
49.9,1.6,2,3
49.9,1.7,2,3
50,-8.2,1,3
50,-8.1,1,3
50,-8,1,3
50,-7.9,1,3
50,-7.8,1,3
50,-7.7,1,3
50,-7.6,1,3
50,-7.5,2,3
50,-7.4,2,3
50,-7.3,2,3
50,-7.2,2,3
50,-7.1,2,3
50,-7,2,3
50,-6.9,2,3
50,-6.8,2,3
50,-6.7,2,3
50,-6.6,2,3
50,-6.5,2,3
50,-6.4,2,3
50,-6.3,2,3
50,-6.2,2,3
50,-6.1,2,3
50,-6,2,3
50,-5.9,2,3
50,-5.8,2,3
50,-5.7,2,3
50,-5.6,2,3
50,-5.5,2,3
50,-5.4,2,3
50,-5.3,2,3
50,-5.2,2,3
50,-5.1,2,3
50,-5,2,3
50,-4.9,2,3
50,-4.8,2,3
50,-4.7,2,3
50,-4.6,2,3
50,-4.5,2,3
50,-4.4,2,3
50,-4.3,2,3
50,-4.2,2,3
50,-4.1,2,3
50,-4,2,3
50,-3.9,2,3
50,-3.8,2,3
50,-3.7,2,3
50,-3.6,2,3
50,-3.5,2,3
50,-3.4,2,3
50,-3.3,2,3
50,-3.2,2,3
50,-3.1,2,3
50,-3,2,3
50,-2.9,2,3
